Sample,Service,WER,SemanticSimilarity
aprocsa1554a,AWS Transcribe,33.74,87.73
aprocsa1554a,ElevenLabs Scribe v1,35.39,87.81
aprocsa1554a,GCP Chirp 2,31.48,88.4
aprocsa1554a,Gemini 2.5 Pro Audio,31.89,89.73
aprocsa1554a,GPT-4.1 Postprocessed,14.2,96.27
aprocsa1713a,AWS Transcribe,22.63,91.9
aprocsa1713a,ElevenLabs Scribe v1,25.29,91.2
aprocsa1713a,GCP Chirp 2,20.32,92.09
aprocsa1713a,Gemini 2.5 Pro Audio,21.74,93.0
aprocsa1713a,GPT-4.1 Postprocessed,9.76,96.22
aprocsa1731a,AWS Transcribe,26.71,82.29
aprocsa1731a,ElevenLabs Scribe v1,27.72,86.09
aprocsa1731a,GCP Chirp 2,25.81,84.0
aprocsa1731a,Gemini 2.5 Pro Audio,22.45,88.04
aprocsa1731a,GPT-4.1 Postprocessed,16.16,89.71
aprocsa1738a,AWS Transcribe,38.07,69.89
aprocsa1738a,ElevenLabs Scribe v1,37.87,79.29
aprocsa1738a,GCP Chirp 2,35.49,72.9
aprocsa1738a,Gemini 2.5 Pro Audio,36.58,74.42
aprocsa1738a,GPT-4.1 Postprocessed,16.6,88.07
aprocsa1833a,AWS Transcribe,41.6,84.06
aprocsa1833a,ElevenLabs Scribe v1,45.16,84.6
aprocsa1833a,GCP Chirp 2,34.22,84.77
aprocsa1833a,Gemini 2.5 Pro Audio,46.04,84.35
aprocsa1833a,GPT-4.1 Postprocessed,17.16,92.4
aprocsa1944a,AWS Transcribe,35.25,85.45
aprocsa1944a,ElevenLabs Scribe v1,41.81,87.52
aprocsa1944a,GCP Chirp 2,36.73,86.73
aprocsa1944a,Gemini 2.5 Pro Audio,50.25,72.77
aprocsa1944a,GPT-4.1 Postprocessed,19.36,92.76
